14:43:50.467 | DEBUG | traceId  | session  | user  | o.s.test.context.BootstrapUtils - Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate]
14:43:50.479 | DEBUG | traceId  | session  | user  | o.s.test.context.BootstrapUtils - Instantiating BootstrapContext using constructor [public org.springframework.test.context.support.DefaultBootstrapContext(java.lang.Class,org.springframework.test.context.CacheAwareContextLoaderDelegate)]
14:43:50.509 | DEBUG | traceId  | session  | user  | o.s.test.context.BootstrapUtils - Instantiating TestContextBootstrapper for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests] from class [org.springframework.boot.test.context.SpringBootTestContextBootstrapper]
14:43:50.524 | INFO  | traceId  | session  | user  | o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests], using SpringBootContextLoader
14:43:50.528 | DEBUG | traceId  | session  | user  | o.s.t.c.s.AbstractContextLoader - Did not detect default resource location for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests]: class path resource [ru/sberdyshev/geekbrains/java/javaspringsecond/JavaSpringSecondApplicationTests-context.xml] does not exist
14:43:50.529 | DEBUG | traceId  | session  | user  | o.s.t.c.s.AbstractContextLoader - Did not detect default resource location for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests]: class path resource [ru/sberdyshev/geekbrains/java/javaspringsecond/JavaSpringSecondApplicationTestsContext.groovy] does not exist
14:43:50.529 | INFO  | traceId  | session  | user  | o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:43:50.530 | INFO  | traceId  | session  | user  | o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests]: JavaSpringSecondApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:43:50.572 | DEBUG | traceId  | session  | user  | o.s.t.c.support.ActiveProfilesUtils - Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests]
14:43:50.666 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\JavaSpringSecondApplication.class]
14:43:50.667 | INFO  | traceId  | session  | user  | o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplication for test class ru.sberdyshev.geekbrains.java.javaspringsecond.JavaSpringSecondApplicationTests
